Zone,population_milliers_hab,Taux_Croissance,Consommation_Volailles_moyenne_Par_Personne (kg/personne/ans),Ratio_Importation_Consommation,Ratio_Production_Consommation,Taux_Dependance_Import,PIB_personne_US$,indice_stabilite_politique
Afrique du Sud,57009.756,1.4037315645413884,35.69,25.261980106333354,81.92941797131849,24.27,6723.928582,-0.28
Albanie,2884.169,-0.45479539001178626,16.36,80.53405976931548,27.551125710555297,74.51,4521.752217,0.38
Algérie,41389.189,1.7243903929144544,6.38,0.757394941525555,104.1418044597638,0.72,4134.936055,-0.92
Allemagne,82658.409,0.11646993537219874,19.47,52.31895948687564,94.0747086260448,49.24,44670.222282,0.59
Angola,29816.766,3.566729886856179,10.56,87.97419749029994,13.339047994919126,86.83,4042.681403,-0.38
Antigua-et-Barbuda,95.426,1.3218777029998519,54.1,135.59199639960633,0.0,100.0,16110.556281,0.75
Arabie saoudite,33101.179,2.75501285769697,43.36,50.30422485227831,42.91884004017098,54.37,20138.146333,-0.64
Argentine,43937.14,1.0327661999170124,42.24,0.43105659447551525,116.43916258269856,0.41,14609.78337,0.17
Arménie,2944.791,-0.2172514836932815,16.06,74.00618657803815,23.259087210240562,76.09,4041.995072,-0.62
Australie,24584.62,1.5158503583042382,47.65,1.365820345678664,108.32662616663904,1.29,57430.803788,0.9
Autriche,8819.901,0.5404518924836843,18.2,68.52634790295315,92.19908626942788,61.11,47429.535841,1.05
Azerbaïdjan,9845.32,1.1333653475867012,13.11,20.918533552040167,80.57509220045101,20.61,4057.624007,-0.75
Bahamas,381.755,1.441580307032031,43.17,145.62785716736033,36.40696429184008,80.0,30969.876197,0.99
Bangladesh,159685.424,1.310669190499758,1.5,0.0,103.9543847157897,0.0,1785.962903,-1.26
Barbade,286.232,0.30163832240792665,46.78,14.936594574256926,112.02445930692693,11.76,17843.196496,0.97
Bélarus,9450.231,-0.24067410842526504,27.98,7.9419867854266695,175.1018991263118,6.33,5637.218565,-0.05
Belize,375.769,2.460661765173322,25.69,0.0,207.17862306188684,0.0,6101.585949,0.04
Bénin,11175.198,2.899410530397617,14.4,76.4341416292281,11.185484140862648,87.23,1095.274459,0.03
Bolivie (État plurinational de),11192.855,1.6754977460560205,36.0,0.24817419485714576,132.27684585885868,0.19,3280.01179,-0.28
Bosnie-Herzégovine,3351.525,-0.6695433765315895,16.7,17.866565077377636,108.98604697200358,15.87,5255.95028,-0.35
Botswana,2205.08,1.7711095975872393,3.39,40.132591661635374,66.88765276939229,37.5,6705.339802,1.02
Brésil,207833.823,1.010572701138135,48.03,0.030053319039804814,142.26239456142272,0.03,9896.717511,-0.47
Bulgarie,7102.444,-0.6971720572474638,22.06,68.93034135750534,68.29209745604696,63.53,8242.455771,0.33
Burkina Faso,19193.234,2.9970230974072143,2.27,0.0,105.58052478606128,0.0,711.184631,-0.93
Cabo Verde,537.498,1.336398224962898,17.62,126.7063817683809,10.558865147365074,92.31,3132.620588,0.77
Cambodge,16009.409,1.6259652421700466,2.34,26.693704143009118,74.74237160042551,26.32,1400.899268,0.09
Cameroun,24566.073,2.735353416537656,3.16,0.0,104.34273069368906,0.0,1479.862223,-1.1
Canada,36732.095,1.0741209096948756,39.02,12.698090677668198,98.86370599041668,12.67,45125.109808,1.1
Chili,18470.439,1.1142986455833448,36.36,23.079723728435816,106.0178277073955,20.61,15081.989132,0.42
"Chine, Taiwan Province de",23674.546,0.42909067102336884,33.17,20.502118770694818,83.02721390368336,20.0,16709.42758164423,-0.07153846153846152
Chypre,1179.678,1.2956381660426342,25.08,47.3191596442803,84.49849936478624,36.84,18987.256286,0.54
Colombie,48909.839,1.261418964421357,31.99,4.985217712251147,99.9600064353948,4.76,6450.319585,-0.77
Congo,5110.695,2.913568223422147,21.53,94.51687320150721,6.361712619332216,93.69,2088.500217,-0.53
Costa Rica,4949.954,1.2999505630438168,26.52,12.950133294685992,101.31574871724922,11.56,12118.133618,0.61
Côte d'Ivoire,24437.47,2.3666373301689303,2.53,11.321951163407391,93.8104524968041,10.77,2076.147823,-1.09
